tests/phase1_static.php: LULUS, 76 pemeriksaan
tests/phase2_static.php: LULUS, 46 pemeriksaan
tests/phase3_static.php: LULUS, 35 pemeriksaan
tests/phase4_static.php: LULUS, 38 pemeriksaan
tests/phase5_static.php: LULUS, 44 pemeriksaan
tests/v2_phase1_static.php: LULUS, 127 pemeriksaan
tests/v2_phase2_static.php: LULUS, 174 pemeriksaan
tests/v2_phase3_static.php: LULUS, 147 pemeriksaan
tests/v2_phase4_static.php: LULUS, 289 pemeriksaan
tests/v2_phase5_static.php: LULUS, 272 pemeriksaan
tests/v2_phase5_cetak_pdf.php: LULUS, 76 pemeriksaan
tests/phase2_integration.php: LULUS, 12 pemeriksaan
tests/phase3_integration.php: LULUS, 10 pemeriksaan
tests/phase4_integration.php: LULUS, 14 pemeriksaan
tests/phase5_integration.php: LULUS, 20 pemeriksaan
tests/v2_phase1_integration.php: LULUS, 39 pemeriksaan
tests/v2_phase2_integration.php: LULUS, 94 pemeriksaan
tests/v2_phase2_navigasi_murobi.php: LULUS, 40 pemeriksaan
tests/v2_phase2_web_smoke.php: LULUS, 36 pemeriksaan
tests/v2_phase3_api_contract.php: LULUS, 116 pemeriksaan
tests/v2_phase4_integration.php: LULUS, 122 pemeriksaan
tests/v2_phase4_api_contract.php: LULUS, 92 pemeriksaan
tests/v2_phase4_concurrency.php: LULUS, 20 pemeriksaan
tests/v2_phase4_web_smoke.php: LULUS, 46 pemeriksaan
tests/v2_phase5_integration.php: LULUS, 143 pemeriksaan
tests/v2_phase5_api_contract.php: LULUS, 149 pemeriksaan
tests/v2_phase5_web_smoke.php: LULUS, 79 pemeriksaan
tests/v2_phase5_performance.php: LULUS, 12 pemeriksaan
tests/perapihan_static.php: LULUS, 132 pemeriksaan
tests/perapihan_integration.php: LULUS, 53 pemeriksaan
tests/perapihan_akun_concurrency.php: LULUS, 7 pemeriksaan
tests/perapihan_web_smoke.php: LULUS, 56 pemeriksaan
tests/kredensial_static.php: LULUS, 105 pemeriksaan
tests/kredensial_integration.php: LULUS, 59 pemeriksaan
tests/kredensial_web_smoke.php: LULUS, 51 pemeriksaan
tests/penempatan_static.php: LULUS, 138 pemeriksaan
tests/penempatan_integration.php: LULUS, 62 pemeriksaan
tests/penempatan_concurrency.php: LULUS, 10 pemeriksaan
tests/penempatan_web_smoke.php: LULUS, 47 pemeriksaan
tests/alumni_static.php: LULUS, 180 pemeriksaan
tests/alumni_integration.php: LULUS, 80 pemeriksaan
tests/alumni_concurrency.php: LULUS, 13 pemeriksaan
tests/alumni_web_smoke.php: LULUS, 61 pemeriksaan
tests/penugasan_resolver_failure.php: LULUS, 5 pemeriksaan
tests/penugasan_runner.sh: LULUS, 3 pemeriksaan
tests/penugasan_static.php: LULUS, 282 pemeriksaan
tests/penugasan_integration.php: LULUS, 161 pemeriksaan
tests/penugasan_concurrency.php: LULUS, 52 pemeriksaan
tests/penugasan_web_smoke.php: LULUS, 85 pemeriksaan
Runner penugasan_run_all_tests.sh: exit 0, tanpa skip.
